--56QUhyDQM,185,playing tennis,train
--z8JpdDKr0,249,hammering nails,train
-0DIFwkUpjQ,50,skateboarding,train
-2LovF10IwM,179,ice cracking,train
-2LovF10IwM,282,ice cracking,train
-3gU1bPU7_8,0,skateboarding,train
-3usm60vq2g,240,hammering nails,train
-3usm60vq2g,321,hammering nails,train
-7tYmeOmsRg,58,people eating crisps,test
-7tYmeOmsRg,180,people eating crisps,test
-84CyEpynsY,10,dog barking,train
-91W9Tp2x2w,207,hammering nails,train
-9DBR_bymo8,289,playing badminton,train
-9YohOxYZ0Q,10,dog barking,train
-9jpjShrNGs,20,people sneezing,train
-A7n0rFvnRs,300,playing badminton,train
-AFGfu5zOzQ,30,skateboarding,train
-AWooU1PDiM,70,dog barking,train
-ApKgZOHx3o,158,people eating crisps,train
-ApKgZOHx3o,185,people eating crisps,train
-BdPW1c_3_8,0,people sneezing,train
-BrurdlJW1M,0,people eating crisps,train
-C-007gu_vQ,63,people sneezing,train
-D8dsr8DfW8,30,people sneezing,train
-DH8ConSkE8,24,hammering nails,train
-DH8ConSkE8,41,hammering nails,train
-DHGwygUsQc,30,skateboarding,train
-DRI8Edj8X0,159,playing badminton,train
-DSLoPRcbEY,41,playing badminton,train
-FD8qQRrMWc,158,people eating crisps,train
-FD8qQRrMWc,249,people eating crisps,train
-FYbupIu_5A,18,people sneezing,train
-G_2v0L4U_s,78,playing tennis,train
-G_2v0L4U_s,186,playing tennis,train
-H2Vh1rqO2A,18,people sneezing,train
-I2aGtZRT9M,17,playing tennis,train
-I2aGtZRT9M,81,playing tennis,train
-Jsy9Ol7wWY,90,skateboarding,train
-KqXcm-I2zY,87,playing tennis,test
-KqXcm-I2zY,162,playing tennis,test
-LwVikp3Yq0,56,hammering nails,train
-McJLXNN3-o,50,skateboarding,train
-MtRK9tBY_c,23,hammering nails,train
-NjhRZWnryk,66,hammering nails,train
-NjhRZWnryk,87,hammering nails,train
-Nz3X8U7eoM,113,playing badminton,train
-O4W3NA5-uA,150,playing tennis,test
-OJzsMV1G1A,61,chopping wood,test
-QJCOlcr9eA,90,skateboarding,train
-QlgGKvOyqs,62,lions roaring,train
-QlgGKvOyqs,73,lions roaring,train
-RKs4NoVRms,30,people sneezing,train
-Rg7kFVxDP0,499,playing tennis,train
-Roa4FMSQs8,289,striking bowling,train
-ULEGnrT7DA,43,people sneezing,train
-U_T33UO3pc,400,dog barking,train
-VudsuhSnX4,0,playing tennis,train
-VudsuhSnX4,79,playing tennis,train
-Vvs_Dq9E98,324,playing badminton,train
-Vzs7fglTx4,234,skateboarding,train
-Vzs7fglTx4,279,skateboarding,train
-W1LZRIVWw4,173,playing badminton,train
-W3y3qz3yp8,210,people eating crisps,train
-W3y3qz3yp8,256,people eating crisps,train
-Wicy2cYTc0,0,skateboarding,train
-Wigi5NZWPY,47,hammering nails,train
-Wigi5NZWPY,207,hammering nails,train
-Wsuo4VDwfE,30,chopping wood,test
-XTdxysGplA,0,hammering nails,train
-YIYb7I1RRI,4,dog barking,train
-ZSgg6jFUd8,688,people eating crisps,test
-ZTXOjEwSD0,5,people sneezing,train
-ZtoRdOElFs,5,playing badminton,train
-_KYvb4aTZY,14,lions roaring,train
-_KYvb4aTZY,29,lions roaring,train
-b_CaC9S5PY,12,playing badminton,train
-bx0x_RcC6Q,161,hammering nails,train
-bx0x_RcC6Q,213,hammering nails,train
-cGxEhd3A-Y,42,people eating apple,train
-cGxEhd3A-Y,55,people eating apple,train
-cRBIvS8fUU,204,playing tennis,train
-d1lAtyWGrM,7,lions roaring,train
-d1lAtyWGrM,17,lions roaring,train
-d7bbwU59sM,10,skateboarding,train
-g9RUYvcrhE,396,hammering nails,train
-ggLqUKLPfU,0,people sneezing,train
-ggLqUKLPfU,39,people sneezing,train
-glYW1o6HHA,105,playing badminton,train
-hb5BJ9xxBQ,62,striking bowling,test
-hqM85LZw7c,20,dog barking,train
-i-71_Sz8ic,3,people sneezing,train
-iB3a71aPew,30,skateboarding,train
-iNvaCbzWeg,260,people sneezing,train
-iPmJbFdpaI,10,playing badminton,train
-jc0RWAooVI,0,dog barking,train
-kElp3dCLYY,95,people eating crisps,train
-l303vjbvtY,20,people sneezing,train
-lXGJj-NMqQ,1,lions roaring,train
-lZapwtvwlg,0,skateboarding,train
-lwNEw-ZXlQ,10,dog barking,train
-mdPX2djAUY,10,dog barking,train
-miI_C3At4Y,104,playing badminton,test
-mn1193jkjY,250,playing badminton,train
-mxY_r1rHn8,1,ice cracking,train
-mxY_r1rHn8,11,ice cracking,train
-no4r2Y4qRs,6,people sneezing,train
-oS19KshdlM,30,skateboarding,train
-pd7_XFFy0A,100,dog barking,train
-pqoeMKGNE0,26,playing badminton,train
-rK4U422kSU,4,playing badminton,train
-rPJ7Wsc0DM,30,dog barking,train
-ruRSHXi3z8,239,people eating crisps,train
-ruRSHXi3z8,291,people eating crisps,train
-ry0G6_9kz0,40,skateboarding,train
-sCrXS2kJlA,30,skateboarding,train
-spqqACI6UQ,70,skateboarding,test
-tPtpv32DZw,10,dog barking,train
-vAtBe4LMCQ,63,people eating crisps,test
-vTsAg0HPLw,20,skateboarding,train
-wvdBDsvSmc,97,lions roaring,train
-wvdBDsvSmc,122,lions roaring,train
-wwPo59cjuo,334,people eating apple,test
-x7xMm47pfc,7,lions roaring,train
-x7xMm47pfc,23,lions roaring,train
-xqGc4Bbm9Q,50,skateboarding,train
-yE8H3t_0IU,11,playing tennis,train
-yE8H3t_0IU,22,playing tennis,train
-ycoZrbN10M,207,ice cracking,train
-ycoZrbN10M,217,ice cracking,train
-ytslDlizEc,167,playing badminton,train
-z5CRDWUuPA,0,hammering nails,train
0-Zv8FdF-X8,16,ice cracking,train
0-Zv8FdF-X8,41,ice cracking,train
0-rrEzbcnnQ,2,people sneezing,train
0-wCkKWGpSE,59,playing badminton,train
00YOj2f37D4,110,people eating crisps,train
00YOj2f37D4,134,people eating crisps,train
01Jxsfxi1r4,10,skateboarding,train
01j_x89dowI,481,hammering nails,test
038-gneOcks,63,people eating crisps,train
038-gneOcks,309,people eating crisps,train
03FBDSuWg1k,415,skateboarding,train
03FBDSuWg1k,429,skateboarding,train
03PXwww-qp0,80,skateboarding,train
03v7NSP21i0,17,lions roaring,train
03v7NSP21i0,60,lions roaring,train
05EraRyIIKQ,224,playing badminton,train
05L_gImTsQg,390,people eating apple,train
05L_gImTsQg,411,people eating apple,train
05teB0FNOnE,52,skateboarding,train
05teB0FNOnE,68,skateboarding,train
062WcdH4MWA,13,ice cracking,train
062WcdH4MWA,76,ice cracking,train
06iI8SqH55k,44,ice cracking,train
06iI8SqH55k,67,ice cracking,train
077_m7wNT3I,20,dog barking,train
07D1LCR-KUk,186,people eating apple,train
07D1LCR-KUk,205,people eating apple,train
07jbCMbQe4Y,0,skateboarding,train
08FYojxT5ik,23,dog barking,train
08oXi7JvFFY,382,playing badminton,train
09GjN2rVxDw,0,skateboarding,train
09ImXkepCCc,3,dog barking,train
09v2x0Tf3RE,149,hammering nails,train
0A6oyQPyako,111,striking bowling,train
0A6oyQPyako,968,striking bowling,train
0AA5ppkU678,6,lions roaring,train
0AA5ppkU678,21,lions roaring,train
0AFOq7PKDDo,20,skateboarding,train
0B3c1lYe5wY,91,playing badminton,train
0Bp8c3PfAAA,53,playing badminton,train
0BwiOU6alvQ,0,dog barking,train
0D4CW2-87yk,189,playing badminton,train
0E3MxE0zPac,86,ice cracking,train
0E3MxE0zPac,113,ice cracking,train
0EaAJ3B7zRo,4,hammering nails,train
0GnsoKRz0HE,6,people eating apple,train
0I747nTTCo0,0,skateboarding,train
0IHLg7Ld1CE,50,skateboarding,train
0IUYX39tlGs,13,people eating apple,train
0IUYX39tlGs,43,people eating apple,train
0MtHCUsvrPE,30,skateboarding,train
0NLXz4JgvcQ,96,people eating crisps,test
0NecAFJWmLY,42,lions roaring,train
0NecAFJWmLY,63,lions roaring,train
0ORvUZF6V7w,46,people eating apple,train
0ORvUZF6V7w,80,people eating apple,train
0OZtca8x5o8,130,skateboarding,train
0P05t6KPfbg,157,playing badminton,train
0PgWkraD_rY,239,ice cracking,train
0QC0lAHptR8,602,playing tennis,train
0Qc4x6XmFiw,90,skateboarding,train
0QkmP-TtIFo,300,dog barking,train
0T9__Qqp2Go,16,playing badminton,train
0TVs4v3l0ns,250,skateboarding,train
0TqOnQyMK_Q,97,lions roaring,train
0TqOnQyMK_Q,114,lions roaring,train
0Ubv-aJ5HrA,387,people eating apple,train
0Ubv-aJ5HrA,402,people eating apple,train
0UcGJ1G2MjM,6,dog barking,train
0UcGJ1G2MjM,21,dog barking,train
0VW6vjuaN9w,75,ice cracking,train
0VW6vjuaN9w,102,ice cracking,train
0Vk7uLPqayM,20,dog barking,train
0VzddQUqVCQ,0,playing tennis,train
0W0M_cGSdTo,0,playing tennis,train
0W0M_cGSdTo,10,playing tennis,train
0WOznd-S7no,340,playing badminton,train
0WTf_N9NPDw,23,people eating apple,test
0WwxN4pYDcg,14,lions roaring,train
0WwxN4pYDcg,25,lions roaring,train
0XBR3YKKH7M,0,playing tennis,train
0XBR3YKKH7M,140,playing tennis,train
0Xoyjfzpbk8,0,lions roaring,train
0YD0eCg1cXc,0,striking bowling,train
0YnHY_OQRDU,596,playing tennis,train
0YqtcjfQkFM,73,people sneezing,train
0YqtcjfQkFM,119,people sneezing,train
0ZPTqp1E3J4,11,people sneezing,train
0ZPoe2MrWt8,0,skateboarding,train
0ZPoe2MrWt8,13,skateboarding,train
0ZTDE8i2wBU,0,hammering nails,train
0ZTDE8i2wBU,12,hammering nails,train
0Zzt2Tf_0Os,139,ice cracking,test
0_B2YnBAz3A,220,people sneezing,test
0_FFqLukmHk,80,people sneezing,test
0a2lWfEIffU,0,people sneezing,train
0a2lWfEIffU,11,people sneezing,train
0aZZyAhkQR8,145,ice cracking,train
0aZZyAhkQR8,195,ice cracking,train
0dLxMmNd5z4,140,skateboarding,train
0dyDvyCf-d4,463,people eating apple,train
0eG0h--CsUk,14,lions roaring,train
0eG0h--CsUk,28,lions roaring,train
0eNfQDAbn_Y,20,dog barking,train
0e_Ki1qvF7Q,32,people sneezing,train
0e_Ki1qvF7Q,62,people sneezing,train
0g_yb4dWVkY,30,skateboarding,train
0hHCTS_wSMg,79,people sneezing,train
0hHCTS_wSMg,142,people sneezing,train
0hOorNAEqv0,0,skateboarding,train
0kTHgSzQkfw,10,dog barking,train
0ka-hEJOatQ,130,skateboarding,train
0ms8GQ5eiho,10,hammering nails,train
0ms8GQ5eiho,22,hammering nails,train
0oMUKGuMqAc,38,ice cracking,train
0oMUKGuMqAc,86,ice cracking,train
0p-KmzyVg-s,2,lions roaring,train
0pROfGizfyE,13,skateboarding,train
0p_ekWHVTu4,100,skateboarding,train
0q318QSI80U,3,people sneezing,train
0qgzjuFGG8o,67,people eating crisps,train
0qgzjuFGG8o,103,people eating crisps,train
0rCriaksbbg,40,dog barking,train
0rDaP06do8c,92,striking bowling,test
0rdTOvcO4dg,43,playing badminton,train
0ry6MOZmmf4,30,people sneezing,train
0s4KwPvpnPo,15,lions roaring,train
0s4KwPvpnPo,25,lions roaring,train
0sM1sMIrJAA,69,striking bowling,train
0sQ0-onguXs,7,lions roaring,train
0ulb4MwrUl4,1,playing badminton,train
0vg9qxNKXOw,30,skateboarding,test
0vtn8NhofOw,159,dog barking,train
0vtn8NhofOw,186,dog barking,train
0vvOUfw6nhg,21,playing badminton,train
0wdNFZhpdQw,368,people eating crisps,test
0x8QF7xZRjE,17,skateboarding,train
0xGLlcIh1dg,30,skateboarding,train
0xcNLamrBoE,193,playing badminton,train
0xfVbUtNKDE,0,playing tennis,train
0xfVbUtNKDE,17,playing tennis,train
0xtXIxoHDgk,107,people sneezing,train
0xtXIxoHDgk,150,people sneezing,train
0yaRfL3Eplo,376,lions roaring,train
1-3iiWBptEs,3,playing badminton,train
1-9ryaEsFc8,1,lions roaring,train
1-9ryaEsFc8,29,lions roaring,train
10YXuv9Go0E,140,skateboarding,test
11TbTQ7APQU,160,skateboarding,train
12lHWBzDR9E,30,dog barking,train
12xzUSqcDGM,275,playing badminton,train
14RH-dyhSkU,0,skateboarding,train
14arb9s1SlQ,100,skateboarding,train
15oSZFqhh7E,283,people sneezing,train
16Nw5RrGPCU,60,playing badminton,train
17-jQfwBk44,202,hammering nails,train
17-jQfwBk44,222,hammering nails,train
18iIh3lJvjY,74,hammering nails,train
1914bVcPq0k,30,skateboarding,train
194ZiYRhyJM,211,people sneezing,train
19RGYncQzlo,10,hammering nails,train
19RGYncQzlo,156,hammering nails,train
1BpmAO0ybjw,10,skateboarding,train
1C5HMH1mPSg,171,chopping wood,train
1C5HMH1mPSg,474,chopping wood,train
1CIxzqH4zzM,20,ice cracking,train
1CIxzqH4zzM,40,ice cracking,train
1CXtcj-UkFM,30,people sneezing,train
1Cb6l1TKshk,393,playing badminton,train
